region,product,channel,order_date,revenue,quantity
North America,Alpha Widget,Partner,2025-01-15,13651.00,187
North America,Beta Gadget,Online,2025-01-15,560.00,35
North America,Gamma Tool,Retail,2025-01-27,10437.00,147
North America,Delta Device,Partner,2025-01-03,15824.00,184
North America,Epsilon Kit,Partner,2025-01-08,2768.00,173
Europe,Alpha Widget,Online,2025-01-04,4968.00,72
Europe,Beta Gadget,Retail,2025-01-14,5530.00,158
Europe,Gamma Tool,Partner,2025-01-16,8004.00,116
Europe,Epsilon Kit,Partner,2025-01-07,8428.00,172
Europe,Zeta Module,Retail,2025-01-23,806.00,62
Asia Pacific,Alpha Widget,Online,2025-01-05,6336.00,192
Asia Pacific,Beta Gadget,Retail,2025-01-20,10043.00,121
Asia Pacific,Gamma Tool,Partner,2025-01-03,1102.00,58
Asia Pacific,Epsilon Kit,Online,2025-01-22,2401.00,49
Asia Pacific,Zeta Module,Partner,2025-01-04,4484.00,76
Latin America,Alpha Widget,Retail,2025-01-11,5025.00,75
Latin America,Beta Gadget,Online,2025-01-21,7735.00,91
Latin America,Gamma Tool,Retail,2025-01-15,10519.00,157
Latin America,Delta Device,Retail,2025-01-07,280.00,7
Latin America,Epsilon Kit,Online,2025-01-27,10816.00,169
North America,Alpha Widget,Partner,2025-02-17,580.00,29
North America,Beta Gadget,Partner,2025-02-13,10948.00,161
North America,Gamma Tool,Partner,2025-02-04,1632.00,96
North America,Delta Device,Online,2025-02-20,1802.00,106
North America,Epsilon Kit,Partner,2025-02-13,2730.00,195
Europe,Alpha Widget,Retail,2025-02-17,5668.00,109
Europe,Beta Gadget,Partner,2025-02-06,943.00,23
Europe,Gamma Tool,Partner,2025-02-07,5365.00,145
Europe,Epsilon Kit,Retail,2025-02-02,9006.00,114
Europe,Zeta Module,Online,2025-02-21,4992.00,192
Asia Pacific,Alpha Widget,Partner,2025-02-05,3135.00,95
Asia Pacific,Beta Gadget,Online,2025-02-02,1848.00,44
Asia Pacific,Gamma Tool,Partner,2025-02-01,3222.00,179
Asia Pacific,Delta Device,Retail,2025-02-22,3060.00,68
Asia Pacific,Epsilon Kit,Retail,2025-02-19,10579.00,149
Asia Pacific,Zeta Module,Retail,2025-02-17,14996.00,163
Latin America,Alpha Widget,Retail,2025-02-02,11163.00,183
Latin America,Gamma Tool,Retail,2025-02-23,2848.00,178
Latin America,Delta Device,Retail,2025-02-01,7029.00,99
Latin America,Epsilon Kit,Partner,2025-02-19,1918.00,137
Latin America,Zeta Module,Online,2025-02-09,962.00,37
North America,Alpha Widget,Partner,2025-03-20,520.00,20
North America,Beta Gadget,Partner,2025-03-05,120.00,5
North America,Gamma Tool,Retail,2025-03-10,5832.00,81
North America,Delta Device,Online,2025-03-23,6624.00,138
North America,Epsilon Kit,Online,2025-03-01,4275.00,75
North America,Zeta Module,Online,2025-03-19,1640.00,82
Europe,Alpha Widget,Partner,2025-03-20,2516.00,37
Europe,Beta Gadget,Online,2025-03-24,2117.00,29
Europe,Delta Device,Partner,2025-03-21,4095.00,65
Europe,Zeta Module,Retail,2025-03-02,4218.00,111
Asia Pacific,Alpha Widget,Retail,2025-03-17,1400.00,40
Asia Pacific,Beta Gadget,Online,2025-03-07,5044.00,97
Asia Pacific,Gamma Tool,Partner,2025-03-20,2704.00,169
Asia Pacific,Epsilon Kit,Partner,2025-03-18,1660.00,83
Asia Pacific,Zeta Module,Retail,2025-03-27,3850.00,55
